"station_type","hour_rounded","hour","day","weekend","week","month","quarter","dayOfMonth","interactions"
"Dublin Central","2024-05-06 23:00:00.000","23","Monday","Weekday","19","May","Q2: Apr - Jun","6","21"
"Dublin Central","2024-05-07 00:00:00.000","0","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","0"
"Dublin Central","2024-05-07 01:00:00.000","1","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","0"
"Dublin Central","2024-05-07 02:00:00.000","2","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","0"
"Dublin Central","2024-05-07 03:00:00.000","3","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","1"
"Dublin Central","2024-05-07 04:00:00.000","4","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","90"
"Dublin Central","2024-05-07 05:00:00.000","5","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","177"
"Dublin Central","2024-05-07 06:00:00.000","6","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","245"
"Dublin Central","2024-05-07 07:00:00.000","7","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","366"
"Dublin Central","2024-05-07 08:00:00.000","8","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","269"
"Dublin Central","2024-05-07 09:00:00.000","9","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","138"
"Dublin Central","2024-05-07 10:00:00.000","10","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","144"
"Dublin Central","2024-05-07 11:00:00.000","11","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","244"
"Dublin Central","2024-05-07 12:00:00.000","12","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","245"
"Dublin Central","2024-05-07 13:00:00.000","13","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","170"
"Dublin Central","2024-05-07 14:00:00.000","14","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","203"
"Dublin Central","2024-05-07 15:00:00.000","15","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","275"
"Dublin Central","2024-05-07 16:00:00.000","16","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","318"
"Dublin Central","2024-05-07 17:00:00.000","17","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","271"
"Dublin Central","2024-05-07 18:00:00.000","18","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","196"
"Dublin Central","2024-05-07 19:00:00.000","19","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","132"
"Dublin Central","2024-05-07 20:00:00.000","20","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","99"
"Dublin Central","2024-05-07 21:00:00.000","21","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","115"
"Dublin Central","2024-05-07 22:00:00.000","22","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","44"
"Dublin Central","2024-05-07 23:00:00.000","23","Tuesday","Weekday","19","May","Q2: Apr - Jun","7","18"
"Dublin Central","2024-05-08 00:00:00.000","0","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","1"
"Dublin Central","2024-05-08 01:00:00.000","1","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","0"
"Dublin Central","2024-05-08 02:00:00.000","2","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","0"
"Dublin Central","2024-05-08 03:00:00.000","3","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","0"
"Dublin Central","2024-05-08 04:00:00.000","4","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","115"
"Dublin Central","2024-05-08 05:00:00.000","5","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","147"
"Dublin Central","2024-05-08 06:00:00.000","6","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","189"
"Dublin Central","2024-05-08 07:00:00.000","7","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","417"
"Dublin Central","2024-05-08 08:00:00.000","8","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","279"
"Dublin Central","2024-05-08 09:00:00.000","9","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","187"
"Dublin Central","2024-05-08 10:00:00.000","10","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","147"
"Dublin Central","2024-05-08 11:00:00.000","11","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","271"
"Dublin Central","2024-05-08 12:00:00.000","12","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","247"
"Dublin Central","2024-05-08 13:00:00.000","13","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","192"
"Dublin Central","2024-05-08 14:00:00.000","14","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","206"
"Dublin Central","2024-05-08 15:00:00.000","15","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","263"
"Dublin Central","2024-05-08 16:00:00.000","16","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","360"
"Dublin Central","2024-05-08 17:00:00.000","17","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","288"
"Dublin Central","2024-05-08 18:00:00.000","18","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","194"
"Dublin Central","2024-05-08 19:00:00.000","19","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","122"
"Dublin Central","2024-05-08 20:00:00.000","20","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","123"
"Dublin Central","2024-05-08 21:00:00.000","21","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","110"
"Dublin Central","2024-05-08 22:00:00.000","22","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","73"
"Dublin Central","2024-05-08 23:00:00.000","23","Wednesday","Weekday","19","May","Q2: Apr - Jun","8","19"
"Dublin Central","2024-05-09 00:00:00.000","0","Thursday","Weekday","19","May","Q2: Apr - Jun","9","0"
"Dublin Central","2024-05-09 01:00:00.000","1","Thursday","Weekday","19","May","Q2: Apr - Jun","9","0"
"Dublin Central","2024-05-09 02:00:00.000","2","Thursday","Weekday","19","May","Q2: Apr - Jun","9","0"
"Dublin Central","2024-05-09 03:00:00.000","3","Thursday","Weekday","19","May","Q2: Apr - Jun","9","0"
"Dublin Central","2024-05-09 04:00:00.000","4","Thursday","Weekday","19","May","Q2: Apr - Jun","9","81"
"Dublin Central","2024-05-09 05:00:00.000","5","Thursday","Weekday","19","May","Q2: Apr - Jun","9","151"
"Dublin Central","2024-05-09 06:00:00.000","6","Thursday","Weekday","19","May","Q2: Apr - Jun","9","183"
"Dublin Central","2024-05-09 07:00:00.000","7","Thursday","Weekday","19","May","Q2: Apr - Jun","9","339"
"Dublin Central","2024-05-09 08:00:00.000","8","Thursday","Weekday","19","May","Q2: Apr - Jun","9","319"
"Dublin Central","2024-05-09 09:00:00.000","9","Thursday","Weekday","19","May","Q2: Apr - Jun","9","186"
"Dublin Central","2024-05-09 10:00:00.000","10","Thursday","Weekday","19","May","Q2: Apr - Jun","9","161"
"Dublin Central","2024-05-09 11:00:00.000","11","Thursday","Weekday","19","May","Q2: Apr - Jun","9","266"
"Dublin Central","2024-05-09 12:00:00.000","12","Thursday","Weekday","19","May","Q2: Apr - Jun","9","282"
"Dublin Central","2024-05-09 13:00:00.000","13","Thursday","Weekday","19","May","Q2: Apr - Jun","9","226"
"Dublin Central","2024-05-09 14:00:00.000","14","Thursday","Weekday","19","May","Q2: Apr - Jun","9","209"
"Dublin Central","2024-05-09 15:00:00.000","15","Thursday","Weekday","19","May","Q2: Apr - Jun","9","283"
"Dublin Central","2024-05-09 16:00:00.000","16","Thursday","Weekday","19","May","Q2: Apr - Jun","9","367"
"Dublin Central","2024-05-09 17:00:00.000","17","Thursday","Weekday","19","May","Q2: Apr - Jun","9","312"
"Dublin Central","2024-05-09 18:00:00.000","18","Thursday","Weekday","19","May","Q2: Apr - Jun","9","225"
"Dublin Central","2024-05-09 19:00:00.000","19","Thursday","Weekday","19","May","Q2: Apr - Jun","9","177"
"Dublin Central","2024-05-09 20:00:00.000","20","Thursday","Weekday","19","May","Q2: Apr - Jun","9","127"
"Dublin Central","2024-05-09 21:00:00.000","21","Thursday","Weekday","19","May","Q2: Apr - Jun","9","99"
"Dublin Central","2024-05-09 22:00:00.000","22","Thursday","Weekday","19","May","Q2: Apr - Jun","9","96"
"Dublin Central","2024-05-09 23:00:00.000","23","Thursday","Weekday","19","May","Q2: Apr - Jun","9","46"
"Dublin Central","2024-05-10 00:00:00.000","0","Friday","Weekday","19","May","Q2: Apr - Jun","10","2"
"Dublin Central","2024-05-10 01:00:00.000","1","Friday","Weekday","19","May","Q2: Apr - Jun","10","0"
"Dublin Central","2024-05-10 02:00:00.000","2","Friday","Weekday","19","May","Q2: Apr - Jun","10","0"
"Dublin Central","2024-05-10 03:00:00.000","3","Friday","Weekday","19","May","Q2: Apr - Jun","10","0"
"Dublin Central","2024-05-10 04:00:00.000","4","Friday","Weekday","19","May","Q2: Apr - Jun","10","70"
"Dublin Central","2024-05-10 05:00:00.000","5","Friday","Weekday","19","May","Q2: Apr - Jun","10","127"
"Dublin Central","2024-05-10 06:00:00.000","6","Friday","Weekday","19","May","Q2: Apr - Jun","10","198"
"Dublin Central","2024-05-10 07:00:00.000","7","Friday","Weekday","19","May","Q2: Apr - Jun","10","291"
"Dublin Central","2024-05-10 08:00:00.000","8","Friday","Weekday","19","May","Q2: Apr - Jun","10","264"
"Dublin Central","2024-05-10 09:00:00.000","9","Friday","Weekday","19","May","Q2: Apr - Jun","10","200"
"Dublin Central","2024-05-10 10:00:00.000","10","Friday","Weekday","19","May","Q2: Apr - Jun","10","170"
"Dublin Central","2024-05-10 11:00:00.000","11","Friday","Weekday","19","May","Q2: Apr - Jun","10","222"
"Dublin Central","2024-05-10 12:00:00.000","12","Friday","Weekday","19","May","Q2: Apr - Jun","10","255"
"Dublin Central","2024-05-10 13:00:00.000","13","Friday","Weekday","19","May","Q2: Apr - Jun","10","231"
"Dublin Central","2024-05-10 14:00:00.000","14","Friday","Weekday","19","May","Q2: Apr - Jun","10","196"
"Dublin Central","2024-05-10 15:00:00.000","15","Friday","Weekday","19","May","Q2: Apr - Jun","10","291"
"Dublin Central","2024-05-10 16:00:00.000","16","Friday","Weekday","19","May","Q2: Apr - Jun","10","309"
"Dublin Central","2024-05-10 17:00:00.000","17","Friday","Weekday","19","May","Q2: Apr - Jun","10","274"
"Dublin Central","2024-05-10 18:00:00.000","18","Friday","Weekday","19","May","Q2: Apr - Jun","10","201"
"Dublin Central","2024-05-10 19:00:00.000","19","Friday","Weekday","19","May","Q2: Apr - Jun","10","188"
"Dublin Central","2024-05-10 20:00:00.000","20","Friday","Weekday","19","May","Q2: Apr - Jun","10","133"
"Dublin Central","2024-05-10 21:00:00.000","21","Friday","Weekday","19","May","Q2: Apr - Jun","10","141"
"Dublin Central","2024-05-10 22:00:00.000","22","Friday","Weekday","19","May","Q2: Apr - Jun","10","120"
"Dublin Central","2024-05-10 23:00:00.000","23","Friday","Weekday","19","May","Q2: Apr - Jun","10","52"
"Dublin Central","2024-05-11 00:00:00.000","0","Saturday","Weekend","19","May","Q2: Apr - Jun","11","0"
"Dublin Central","2024-05-11 01:00:00.000","1","Saturday","Weekend","19","May","Q2: Apr - Jun","11","1"
"Dublin Central","2024-05-11 02:00:00.000","2","Saturday","Weekend","19","May","Q2: Apr - Jun","11","0"
"Dublin Central","2024-05-11 03:00:00.000","3","Saturday","Weekend","19","May","Q2: Apr - Jun","11","0"
"Dublin Central","2024-05-11 04:00:00.000","4","Saturday","Weekend","19","May","Q2: Apr - Jun","11","30"
"Dublin Central","2024-05-11 05:00:00.000","5","Saturday","Weekend","19","May","Q2: Apr - Jun","11","46"
"Dublin Central","2024-05-11 06:00:00.000","6","Saturday","Weekend","19","May","Q2: Apr - Jun","11","108"
"Dublin Central","2024-05-11 07:00:00.000","7","Saturday","Weekend","19","May","Q2: Apr - Jun","11","110"
"Dublin Central","2024-05-11 08:00:00.000","8","Saturday","Weekend","19","May","Q2: Apr - Jun","11","148"
